recipe_id,ingredient_id,ingredient_index,qty_value,unit,portion_factor,ingredient_line_raw,parse_status,review_reason
256,390,5,2.0,tbsp,1.0,2 tbsp oil,ok,
256,372,6,80.0,ml,1.0,80 ml Mr Sauce BBQ sauce,ok,
257,145,1,1.0,kg,1.0,1 kg chicken thighs,ok,
257,207,2,1.0,kg,1.0,1 kg drumsticks,ok,
257,375,3,500.0,ml,1.0,500 ml Mr Sauce Lemon & Herb marinade,review,long_base_phrase
257,105,4,1.0,large,1.0,1 large butternut,ok,
257,399,5,1.0,large,1.0,1 large onion,ok,
257,463,6,1.0,punnet,1.0,1 punnet cauliflower,ok,
257,273,7,1.0,large,1.0,1 large green pepper,ok,
257,502,8,1.0,large,1.0,1 large red pepper,ok,
257,522,9,2.0,and,1.0,2 and 3/4 tsp salt,review,contains_conjunction
257,251,10,3.0,tsp,1.0,"3 tsp garlic, grated",ok,
257,390,11,3.0,tbsp,1.0,3 tbsp oil,ok,
258,466,1,4.0,punnets,1.0,4 punnets oyster mushroom,ok,
258,251,2,1.0,tsp,1.0,"1 tsp garlic, grated",ok,
258,522,3,1.0,tsp,1.0,1 tsp salt,ok,
258,667,4,1.0,tsp,1.0,1 tsp Zimspice curry powder,ok,
258,399,5,1.0,medium,1.0,"1 medium onion, finely chopped",ok,
258,597,6,3.0,large,1.0,"3 large tomatoes, grated",ok,
258,625,7,50.0,ml,1.0,50 ml water,ok,
258,374,8,3.0,tbsp,1.0,3 tbsp Mr Sauce Ketchup,ok,
258,390,9,5.0,tbsp,1.0,5 tbsp oil,ok,
259,385,1,,,1.0,200g mufushwa weMunyemba,ok,
259,522,2,2.0,tsp,1.0,2 tsp salt,ok,
259,625,3,300.0,ml,1.0,300 ml water,ok,
259,399,4,1.0,medium,1.0,"1 medium onion, chopped",ok,
259,597,5,3.0,large,1.0,"3 large tomatoes, grated",ok,
259,295,6,2.0,heaped,1.0,2 heaped tbsp peanut butter,ok,
259,390,7,3.0,tbsp,1.0,3 tbsp oil,ok,
260,594,1,1.0,kg,1.0,1 kg tilapia fish fillets,ok,
260,668,2,4.0,tbsp,1.0,4 tbsp Zimspice fish curry,ok,
260,670,3,1.0,tsp,1.0,1 tsp Zimspice turmeric,ok,
260,399,4,0.5,medium,1.0,"½ medium onion, finely chopped",ok,
260,251,5,1.0,tbsp,1.0,"1 tbsp garlic, finely grated",ok,
260,260,6,1.0,tbsp,1.0,"1 tbsp ginger, finely grated",ok,
260,95,7,1.0,tbsp,1.0,1 tbsp brown sugar,ok,
260,654,8,0.5,yellow,1.0,"1/2 yellow pepper, cubed",ok,
260,502,9,0.5,red,1.0,"1/2 red pepper, cubed",ok,
260,273,10,0.5,green,1.0,"1/2 green pepper, cubed",ok,
260,625,11,70.0,ml,1.0,70 ml water,ok,
260,167,12,,,1.0,Coconut milk x 1tin,ok,
260,417,13,,,1.0,Chopped parsley for garnish (optional),ok,
260,390,14,4.0,tbsp,1.0,4 tbsp oil,ok,
261,472,1,1.0,rack,1.0,1 rack of pork ribs,ok,
261,522,2,1.0,tsp,1.0,1 tsp salt,ok,
261,254,3,4.0,whole,1.0,4 whole cloves garlic,ok,
261,302,4,750.0,ml,1.0,750 ml hot water + 1 chicken stock cube,ok,
261,372,5,200.0,ml,1.0,200 ml Mr Sauce BBQ Sauce,ok,
261,376,6,50.0,ml,1.0,50 ml Mr Sauce lemon juice,ok,
262,354,1,200.0,g,1.0,200 g margarine (at room temperature),ok,
262,125,2,200.0,g,1.0,200 g caster sugar,ok,
262,364,3,160.0,ml,1.0,160 ml milk,ok,
262,209,4,2.0,large,1.0,2 large eggs,ok,
262,539,5,2.0,cups,1.0,2 cups self raising flour,ok,
262,666,6,2.0,tbsp,1.0,2 tbsp Zimspice blue poppy seeds,ok,
262,664,7,,,1.0,Zest from 1 lemon,ok,
262,376,8,30.0,ml,1.0,30 ml Mr Sauce lemon juice,ok,
262,332,9,1.0,tsp,1.0,1 tsp lemon essence,ok,
263,407,1,,,1.0,1kg Ox Kidneys,ok,
263,273,2,1.0,Green,1.0,"1 Green Pepper, diced",ok,
263,497,3,1.0,Red,1.0,"1 Red Onion, diced",ok,
263,597,4,1.0,Tomato,1.0,"1 Tomato, chopped",ok,
263,598,5,1.0,Tablespoon,1.0,1 Tablespoon Tomato Paste,ok,
263,251,6,4.0,Cloves,1.0,4 Cloves Garlic,ok,
263,615,7,2.5,Tablespoons,1.0,2 1/2 Tablespoons Vegetable oil,ok,
263,619,8,0.5,cup,1.0,1/2 cup Vinegar,ok,
263,561,9,2.0,Tablespoons,1.0,2 Tablespoons Soy Sauce,ok,
263,57,10,1.0,Tablespoon,1.0,1 Tablespoon Bisto or Gravy Thickener,review,contains_conjunction
263,528,11,,,1.0,"Salt and Pepper, to taste",review,mixed_seasoning;contains_conjunction
263,152,12,,,1.0,"Chili, optional",ok,
264,370,1,1.0,Kg,1.0,1 Kg of Mixed Offal,ok,
264,522,2,0.5,Teaspoon,1.0,1/2 Teaspoon Salt,ok,
264,597,3,2.0,medium,1.0,2 medium tomatoes – Grated,ok,
264,399,4,1.0,medium,1.0,1 medium onion,ok,
264,251,5,2.0,Cloves,1.0,2 Cloves of Garlic,ok,
264,615,6,2.0,Tablespoons,1.0,2 Tablespoons of Vegetable oil,ok,
264,56,7,1.0,Tablespoon,1.0,1 Tablespoon Bisto Gravy,ok,
264,411,8,1.0,Teaspoon,1.0,1 Teaspoon smoked Paprika,ok,
265,50,1,,,1.0,800g Beef Trotters,ok,
265,251,2,4.0,Cloves,1.0,4 Cloves Garlic,ok,
265,63,3,2.0,Teaspoons,1.0,2 Teaspoons Black pepper,ok,
265,253,4,1.0,Teaspoon,1.0,1 Teaspoon Garlic Powder,ok,
265,412,5,2.0,Teaspoons,1.0,2 Teaspoons Paprika,ok,
265,615,6,0.25,cup,1.0,1/4 cup Vegetable Oil,ok,
265,134,7,1.0,Chicken,1.0,1 Chicken Stock Cube,ok,
265,399,8,1.0,Large,1.0,1 Large Onion,ok,
265,273,9,1.0,Large,1.0,1 Large Green Pepper,ok,
265,597,10,1.0,Medium,1.0,"1 Medium Tomato, chopped",ok,
265,598,11,1.5,Tablespoon,1.0,1 1/2 Tablespoon Tomato paste,ok,
265,157,12,3.0,fresh,1.0,3 fresh Chilies (optional),ok,
265,260,13,1.0,Tablespoon,1.0,1 Tablespoon fresh Ginger (optional),ok,
266,393,1,,,1.0,500g Okra,ok,
266,557,2,2.0,Teaspoons,1.0,2 Teaspoons Soda,ok,
266,522,3,0.5,Teaspoon,1.0,1/2 Teaspoon Salt,ok,
266,513,4,1.0,Medium,1.0,1 Medium ripe Tomato,ok,
266,79,5,,,1.0,650g Bondwe (Amaranth leaves) – (Optional),ok,
266,625,6,,,1.0,300ml Water,ok,
267,80,1,,,1.0,800g Bondwe leaves,ok,
267,399,2,1.0,Onion,1.0,1 Onion,ok,
267,597,3,1.0,Tomato,1.0,1 Tomato,ok,
267,506,4,1.0,Teaspoon,1.0,1 Teaspoon or regular Salt or seasoned salt.,review,contains_conjunction
267,615,5,2.0,Tablespoons,1.0,2 Tablespoons Vegetable oil,ok,
268,322,1,,,1.0,300g Dried Kapenta,ok,
268,597,2,1.0,Large,1.0,1 Large Tomato,ok,
268,471,3,1.0,large,1.0,1 large purple Onion,ok,
268,273,4,1.0,Medium,1.0,1 Medium Green Pepper,ok,
268,153,5,0.25,Teaspoon,1.0,1/4 Teaspoon Chili Powder (Optional),ok,
268,522,6,0.25,Teaspoon,1.0,1/4 Teaspoon Salt,ok,
268,413,7,0.25,Teaspoon,1.0,1/4 Teaspoon Smoked Paprika or Curry Powder,review,contains_conjunction
268,615,8,2.5,Tablespoons,1.0,2 1/2 Tablespoons of Vegetable oil,ok,
269,306,1,,,1.0,400g Impwa (Garden Eggs),ok,
269,502,2,1.0,Red,1.0,1 Red Pepper,ok,
269,273,3,1.0,Green,1.0,1 Green Pepper,ok,
269,497,4,,,1.0,I Red Onion,ok,
269,397,5,3.0,Tablespoons,1.0,3 Tablespoons Olive Oil,ok,
269,33,6,,,1.0,Fresh Basil,ok,
269,597,7,1.0,Tomato,1.0,"1 Tomato, grated",ok,
269,251,8,2.0,Cloves,1.0,2 Cloves Garlic,ok,
