fdc_id,g_per_ml,source_portion
2705608,0.3917,1 cup
2705609,0.3917,1 cup
2705610,1.0,1 cup
2705611,0.3125,1 cup
2705612,0.3125,1 cup
2705613,0.3125,1 cup
2705614,1.0,1 cup
2705615,1.0,1 cup
2705616,1.0,1 cup
2705617,1.0,1 cup
2705618,1.0,1 tablespoon
2705619,1.0,1 tablespoon
2705620,1.0,1 tablespoon
2705621,1.0,1 tablespoon
2705622,1.0,1 tablespoon
2705623,1.0,1 tablespoon
2705624,1.0,1 tablespoon
2705625,1.0,1 tablespoon
2705626,1.0,1 tablespoon
2705627,1.0,1 tablespoon
2705628,1.0,1 tablespoon
2705629,0.5625,1 cup
2705630,0.5625,1 cup
2705631,0.5833,1 cup
2705632,0.5625,1 cup
2705633,0.5833,1 cup
2705634,0.7292,1 cup
2705635,0.7292,1 cup
2705636,0.7292,1 cup
2705637,0.7292,1 cup
2705638,0.5542,1 cup
2705640,0.8454,1 miniature Snicker bar (1 fl oz)
2705656,0.8,1 cup
2705657,0.8,1 cup
2705658,0.5833,1 cup
2705659,0.5833,1 cup
2705661,0.5833,1 cup
2705662,0.5833,1 cup
2705663,0.5625,1 cup
2705664,0.5625,1 cup
2705665,0.5625,1 cup
2705666,0.5625,1 cup
2705667,0.8958,1 cup
2705677,0.7292,1 cup
2705679,1.0833,1 cup
2705680,0.8333,1 cup
2705681,1.0833,1 cup
2705682,1.0833,1 cup
2705683,1.0833,1 cup
2705684,1.0833,1 cup
2705685,1.0833,1 cup
2705686,1.0833,1 cup
2705687,1.0833,1 cup
2705688,1.0833,1 cup
2705689,1.0833,1 cup
2705690,1.0833,1 cup
2705691,1.0833,1 cup
2705692,1.0833,1 cup
2705693,1.0833,1 cup
2705694,1.0833,1 cup
2705695,1.0833,1 cup
2705696,1.0833,1 cup
2705697,0.7917,1 cup
2705698,0.7083,1 cup
2705699,1.25,1 cup
2705700,1.2815,1 cubic inch
2705701,0.6042,1 cup
2705702,0.6042,1 cup
2705703,1.0,1 cup
2705704,0.4708,1 cup
2705705,0.5625,"1 cup, crumbled"
2705706,0.4708,"1 cup, NFS"
2705707,1.025,1 cup
2705708,0.6,"1 cup, NFS"
2705709,0.4708,"1 cup, NFS"
2705710,0.4708,"1 cup, NFS"
2705711,0.4708,"1 cup, NFS"
2705712,0.4708,"1 cup, NFS"
2705713,0.4708,"1 cup, NFS"
2705714,0.625,"1 cup, crumbled"
2705715,0.45,"1 cup, NFS"
2705716,0.5833,"1 cup, crumbled"
2705717,0.55,"1 cup, diced"
2705718,0.45,"1 cup, NFS"
2705719,0.5583,1 cup
2705720,0.4708,"1 cup, NFS"
2705721,0.4708,"1 cup, NFS"
2705722,0.4708,"1 cup, NFS"
2705723,0.4708,"1 cup, NFS"
2705724,0.4708,"1 cup, NFS"
2705725,0.4708,"1 cup, NFS"
2705726,0.55,"1 cup, diced"
2705727,0.4708,"1 cup, shredded"
2705728,0.4167,1 cup
2705729,0.4417,1 cup
2705730,0.6285,1 cubic inch
2705731,0.5,1 cup
2705732,0.4708,"1 cup, NFS"
2705733,0.55,"1 cup, diced"
2705734,0.55,"1 cup, diced"
2705735,0.45,"1 cup, NFS"
2705736,0.45,"1 cup, NFS"
2705737,0.45,"1 cup, NFS"
2705738,0.45,"1 cup, NFS"
