recipe_id,ingredient_id,ingredient_index,portion_factor,actual_measure,measure_only
213,1114,14,1,60.0 g,1/4 cup
215,1115,1,1,15.0 g,1 tablespoon
215,851,2,1,7.5 g,1/2 tablespoon
215,1116,3,1,15.0 g,1 tablespoon
215,1117,4,1,7.5 g,1/2 tablespoon
215,1118,5,1,908.0 g,2 lb
215,1119,6,1,60.0 g,1/4 cup
215,162,7,1,,1
215,683,8,1,5.0 g,1 teaspoon
215,727,9,1,15.0 g,1 tablespoon
215,692,10,1,15.0 g,1 tablespoon
215,571,11,1,,1
215,1120,12,1,30.0 g,2 tablespoons
215,1121,13,1,5.0 g,1 teaspoon
215,1110,14,1,1.25 g,1/4 teaspoon
215,1122,15,1,,
216,1123,1,1,908.0 g,2 pounds
216,625,2,1,120.0 g,1/2 cup
216,929,3,1,16.0 g,4 cloves
216,1124,4,1,15.0 g,1 tablespoon
216,412,5,1,7.5 g,1/2 tablespoon
216,680,6,1,5.0 g,1 teaspoon
216,1125,7,1,5.0 g,1 teaspoon
216,1126,8,1,5.0 g,1 teaspoon
216,1127,9,1,1.25 g,1/4 teaspoon
216,615,10,1,60.0 g,1/4 cup
216,1128,11,1,60.0 g,1/4 cup
216,907,12,1,,
217,1129,1,1,,6
217,127,2,1,2.5 g,1/2 teaspoon
217,63,3,1,5.0 g,1 teaspoon
217,522,4,1,10.0 g,2 teaspoon
217,1130,5,1,5.0 g,1 teaspoon
217,686,6,1,5.0 g,1 teaspoon
217,412,7,1,10.0 g,2 teaspoon
217,807,8,1,5.0 g,1 teaspoon
217,955,9,1,2.5 g,1/2 teaspoon
217,397,10,1,30.0 g,2 tablespoon
217,937,11,1,20.0 g,4 sprigs
217,1069,12,1,15.0 g,3 sprigs
218,1131,1,1,1475.5 g,13/4 lb
218,489,2,1,,1
218,1132,3,1,,4
218,870,4,1,,5
218,720,5,1,70.0 g,1 small
218,1133,6,1,,4
218,63,7,1,5.0 g,1 teaspoon
218,522,8,1,10.0 g,2 teaspoon
218,412,9,1,30.0 g,2 tablespoon
218,619,10,1,60.0 g,1/4 cup
218,1134,11,1,,1
218,397,12,1,120.0 g,1/2 cup
218,936,13,1,,1
219,489,1,1,,1
219,1135,2,1,,10
219,674,3,1,20.0 g,5 cloves
219,1136,4,1,,1
219,1137,5,1,,4
219,63,6,1,5.0 g,1 teaspoon
219,522,7,1,10.0 g,2 teaspoon
219,412,8,1,30.0 g,2 tablespoon
219,1138,9,1,60.0 g,1/4 cup
219,1139,10,1,,1
219,397,11,1,120.0 g,1/2 cup
219,936,12,1,,1
220,542,1,1,480.0 g,2 cups
220,1140,2,1,10.0 g,2 teaspoon
220,1141,3,1,,
220,695,4,1,30.0 g,2 tablespoon
220,1142,5,1,,
220,744,6,1,5.0 g,1 teaspoon
221,41,1,1,908.0 g,2 lb
221,1143,2,1,110.0 g,1 medium
221,680,3,1,2.5 g,1/2 teaspoon
221,937,4,1,2.5 g,1/2 teaspoon
221,1104,5,1,,2
221,127,6,1,,
221,522,7,1,,
221,1144,8,1,,3
221,625,9,1,60.0 g,1/4 cup
221,1145,10,1,,
221,489,11,1,,1
221,1146,12,1,,1
221,719,13,1,220.0 g,2 medium
221,1034,14,1,70.0 g,1 small
221,922,15,1,,1/2
221,674,16,1,8.0 g,2 cloves
221,615,17,1,75.0 g,5 tablespoons
221,1147,18,1,2.5 g,1/2 teaspoon
221,966,19,1,60.0 g,1/4 cup
221,522,20,1,,
222,1148,1,1,1135.0 g,2 1/2 lb
222,1149,2,1,,1/2
222,1150,3,1,2.5 g,1/2 teaspoon
222,127,4,1,,
222,1151,5,1,180.0 g,3/4 cup
222,1152,6,1,15.0 g,1 tablespoon
223,1153,1,1,908.0 g,2 lb
223,1154,2,1,30.0 g,2 tbsp
223,412,3,1,10.0 g,2 teaspoon
223,686,4,1,5.0 g,1 teaspoon
223,522,5,1,,
223,63,6,1,,
223,780,7,1,100.0 g,1 bunch
223,325,8,1,,
223,397,9,1,15.0 g,1 tablespoon
223,1155,10,1,120.0 g,1/2 cup
223,1156,11,1,70.0 g,1 small
223,1157,12,1,,
223,1158,13,1,30.0 g,2 tbsp
223,1134,14,1,,1
223,205,15,1,15.0 g,1 tbsp
223,695,16,1,15.0 g,1 tbsp
223,1159,17,1,,1
223,220,18,1,60.0 g,1/4 cup
223,907,19,1,,
223,621,20,1,30.0 g,1-3 tablespoon
224,1160,1,1,240.0 g,1 cup
224,1161,2,1,240.0 g,1 cup
224,1162,3,1,,1
224,166,4,1,120.0 g,1/2 cup
224,268,5,1,120.0 g,1/2 cup
224,706,6,1,120.0 g,1/2 cup
224,695,7,1,15.0 g,1 tablespoon
225,650,1,1,110.0 g,1 medium
225,489,2,1,,1
225,1163,3,1,150.0 g,1 large
225,283,4,1,,1
225,1164,5,1,150.0 g,1 large
225,625,6,1,720.0 g,3 cups
225,1165,7,1,120.0 g,1/2 cup
225,960,8,1,30.0 g,2 tablespoons
225,522,9,1,,
225,1166,10,1,10.0 g,2 teaspoon
225,1167,11,1,425.25 g,15 ounces
225,1168,12,1,,
338,1169,1,1,525.0 g,3-4 large
338,1170,2,1,240.0 g,1 cup
338,187,3,1,180.0 g,3/4 cup
338,577,4,1,30.0 g,2 tablespoons
338,522,5,1,2.5 g,1/2 teaspoon
338,744,6,1,5.0 g,1 teaspoon
338,390,7,1,,
339,1171,1,1,908.0 g,2 pounds
339,1172,2,1,3.75 g,3/4 teaspoon
339,1173,3,1,450.0 g,3 large
340,1174,1,1,681.0 g,1-2 pounds
340,1175,2,1,,
340,1176,3,1,,
340,1177,4,1,1560.0 g,6-7 cups
340,1178,5,1,118.0 g,1/2 cup
340,1179,6,1,15.0 g,2 tablespoons
340,1180,7,1,15.0 g,1 tablespoon
340,1181,8,1,10.0 g,1 tablespoon
340,1182,9,1,2043.0 g,4-5 pounds
340,1183,10,1,,2
340,522,11,1,,
341,10,1,1,120.0 g,1 cup
341,577,2,1,40.0 g,3 tablespoons
341,744,3,1,5.0 g,1 teaspoon
341,924,4,1,1.0 g,1/2 teaspoon
341,1184,5,1,1.0 g,1/2 teaspoon
341,745,6,1,300.0 g,2 large
341,364,7,1,180.0 g,3/4 cup
341,611,8,1,3.0 g,1/2 teaspoon
341,925,9,1,42.0 g,3 tablespoons
341,1185,10,1,15.0 g,1/2 cup
342,1186,1,1,681.0 g,1-2 pounds
342,720,2,1,55.0 g,1/2 medium
342,1187,3,1,,2
342,1188,4,1,250.0 g,1/2 pound
342,960,5,1,30.0 g,1/2 cup
342,1178,6,1,360.0 g,1-2 cups
342,1189,7,1,150.0 g,5 cups
342,1190,8,1,360.0 g,6 cups
342,907,9,1,,
344,10,1,1,270.0 g,21/4 cups
344,744,2,1,4.0 g,2 teaspoons
344,1200,3,1,100.0 g,1/2 cup
344,522,4,1,3.0 g,1/2 teaspoon
344,1184,5,1,2.0 g,1 teaspoon
344,1201,6,1,5.0 g,1 teaspoon
344,364,7,1,118.0 g,1/2 cup
344,745,8,1,450.0 g,3 large
344,773,9,1,10.0 g,2 teaspoons
344,1202,10,1,60.0 g,1/4 cup
344,390,11,1,,
345,1203,1,1,,6
345,625,2,1,60.0 g,1/4 cup
345,1140,3,1,2.0 g,1/2 teaspoon
345,364,4,1,80.0 g,1/3 cup
345,577,5,1,18.0 g,11/2 tablespoons
345,522,6,1,7.0 g,1 teaspoon
345,239,7,1,240.0 g,2 cups
345,1204,8,1,1.5 g,1/2 teaspoon
345,412,9,1,1.0 g,1/2 teaspoon
345,639,10,1,1.25 g,1/4 teaspoon
345,1205,11,1,58.0 g,2 ounces
345,390,12,1,,
346,1206,1,1,,1
346,720,2,1,55.0 g,1/2 medium
346,939,3,1,1.0 g,1/2 teaspoon
346,680,4,1,1.0 g,1/4 teaspoon
346,1207,5,1,266.0 g,1 cup
346,1140,6,1,13.75 g,11/4 teaspoon
346,577,7,1,30.0 g,21/2 tablespoons
346,522,8,1,9.0 g,1/2 tablespoon
346,10,9,1,960.0 g,4 cups
346,1205,10,1,142.0 g,5 ounces
347,1208,1,1,,
347,674,2,1,18.0 g,4-5 cloves
347,1192,3,1,30.0 g,2 tablespoons
347,939,4,1,60.0 g,3-5 tablespoons
347,1209,5,1,3.0 g,1 teaspoon
347,522,6,1,6.0 g,1 teaspoon
347,412,7,1,15.0 g,1 tablespoon
347,639,8,1,5.0 g,1 teaspoon
347,680,9,1,5.0 g,1 teaspoon
347,720,10,1,55.0 g,1/2 medium
347,177,11,1,,
347,1210,12,1,,4
347,177,13,1,,
348,1211,1,1,1589.0 g,3-4 pounds
348,522,2,1,6.25 g,1 1/4 teaspoon
348,807,3,1,15.0 g,1 tablespoon
348,686,4,1,22.5 g,1 1/2 tablespoon
348,639,5,1,5.0 g,1 teaspoon
348,127,6,1,2.5 g,1/2 teaspoon
348,955,7,1,5.0 g,1 teaspoon
348,1212,8,1,,
348,885,9,1,,2
348,1213,10,1,120.0 g,1/2 cup
348,1214,11,1,,
349,239,1,1,480.0 g,4 cups
349,577,2,1,25.0 g,2 tablespoons
349,522,3,1,9.0 g,1/2 tablespoon
349,99,4,1,227.0 g,8 ounces
349,209,5,1,,1
349,364,6,1,178.0 g,3/4 cup
349,109,7,1,30.0 g,2 tablespoons
349,741,8,1,225.0 g,1/2 pound
349,720,9,1,55.0 g,1/2 medium
349,727,10,1,3.0 g,1 teaspoon
349,972,11,1,3.0 g,1 teaspoon
349,723,12,1,120.0 g,1/2 cup
349,854,13,1,7.0 g,1 tablespoon
349,1215,14,1,,2
349,939,15,1,30.0 g,2 tablespoons
349,639,16,1,5.0 g,1 teaspoon
349,522,17,1,,
349,1216,18,1,,2
350,390,1,1,60.0 g,1/4 cup
350,1217,2,1,,
350,412,3,1,5.0 g,1 teaspoon
350,885,4,1,,2
350,1143,5,1,110.0 g,1 medium
350,870,6,1,,4
350,1218,7,1,2.5 g,1/2 teaspoon
350,939,8,1,45.0 g,3 tablespoons
350,1219,9,1,120.0 g,1/2 cup
350,1214,10,1,5.0 g,1 teaspoon
350,127,11,1,2.5 g,1/2 teaspoon
350,907,12,1,,
351,1220,1,1,,10
351,720,2,1,110.0 g,1 medium
351,674,3,1,16.0 g,4 cloves
351,1180,4,1,20.0 g,2 tablespoons
351,1221,5,1,,2
351,939,6,1,30.0 g,2 tablespoons
351,1087,7,1,,1-3
351,1222,8,1,,
351,522,9,1,,
352,1223,1,1,,
352,720,2,1,110.0 g,1 medium
352,674,3,1,18.0 g,4-5 cloves
352,1224,4,1,12.0 g,2 tablespoon
352,412,5,1,15.0 g,1 tablespoon
352,35,6,1,,1
352,1209,7,1,10.0 g,1 tablespoon
352,272,8,1,,2
352,939,9,1,60.0 g,3-5 tablespoons
352,1225,10,1,,1-3
352,1226,11,1,,
352,1227,12,1,60.0 g,1/4 cup
353,1228,1,1,120.0 g,1/2 cup
353,1229,2,1,,2-3
353,986,3,1,110.0 g,1 medium
353,854,4,1,15.0 g,1 tablespoon
353,927,5,1,5.0 g,1 teaspoon
353,1230,6,1,,1/2
353,1231,7,1,,4
353,1232,8,1,480.0 g,2 cups
353,1233,9,1,480.0 g,2 cups
353,1234,10,1,,4
353,1172,11,1,15.0 g,1 tablespoon
353,960,12,1,60.0 g,1/4 cup
353,1214,13,1,5.0 g,1 teaspoon
354,1235,1,1,1800.0 g,4 pounds
354,720,2,1,110.0 g,1 medium
354,674,3,1,8.0 g,2 cloves
354,1236,4,1,,1
354,724,5,1,30.0 g,2 tablespoons
354,937,6,1,5.0 g,1 sprig
354,680,7,1,5.0 g,1 teaspoon
354,270,8,1,,1
354,917,9,1,,2
354,1209,10,1,15.0 g,1 tablespoon
354,1237,11,1,,1
354,907,12,1,,
355,870,1,1,,5
355,719,2,1,,1-2
355,939,3,1,30.0 g,2 tablespoons
355,1221,4,1,,3-4
355,1238,5,1,55.0 g,1/2 medium
355,1192,6,1,15.0 g,1 tablespoon
355,639,7,1,5.0 g,1 teaspoon
355,854,8,1,10.0 g,2 teaspoons
355,955,9,1,15.0 g,1 tablespoon
355,917,10,1,15.0 g,1 tablespoon
355,1239,11,1,1200.0 g,5 cups
355,1240,12,1,,1
355,1241,13,1,908.0 g,2 pounds
355,1242,14,1,360.0 g,1-2 cups
355,1243,15,1,,
355,1244,16,1,,1/2
356,10,1,1,440.0 g,3 1/2 cups
356,744,2,1,2.0 g,1/2 teaspoon
356,522,3,1,2.5 g,1/2 teaspoon
356,1245,4,1,,1/2
356,1246,5,1,7.5 g,1-2 teaspoons
356,1247,6,1,2.0 g,1 teaspoon
356,1248,7,1,75.67 g,1/3 cup
356,209,8,1,150.0 g,1 large
356,364,9,1,180.0 g,3/4 cup
357,720,1,1,110.0 g,1 medium
357,1249,2,1,,1
357,177,3,1,22.5 g,1-2 tablespoons
357,508,4,1,585.0 g,3 cups
357,1214,5,1,10.0 g,2 teaspoons
357,522,6,1,10.0 g,2 teaspoons
357,412,7,1,7.0 g,1 tablespoon
357,686,8,1,10.0 g,1 tablespoon
357,1250,9,1,830.0 g,31/2 cups
357,639,10,1,2.0 g,1 teaspoon
357,927,11,1,1.0 g,1/2 teaspoon
357,1251,12,1,,1
357,1252,13,1,450.0 g,1 pound
357,1253,14,1,,
357,937,15,1,6.0 g,1 tablespoon
357,522,16,1,6.0 g,11/4 teaspoon
357,807,17,1,15.0 g,11/2 tablespoon
357,686,18,1,21.0 g,11/2 tablespoon
357,854,19,1,2.0 g,1 teaspoon
357,639,20,1,2.0 g,1 teaspoon
357,127,21,1,1.0 g,1/2 teaspoon
357,955,22,1,5.0 g,1 teaspoon
357,1254,23,1,60.0 g,1/4 cup
357,10,24,1,37.5 g,2-3 tablespoons
357,1255,25,1,475.0 g,2 cups
357,1256,26,1,,
357,907,27,1,,
358,1257,1,1,,
358,1195,2,1,,
358,1209,3,1,10.0 g,2 teaspoons
358,768,4,1,80.0 g,1/2 cup
358,625,5,1,236.0 g,1 cup
358,177,6,1,37.5 g,2-3 tablespoons
358,727,7,1,10.0 g,2 teaspoons
358,954,8,1,5.0 g,1 teaspoon
358,720,9,1,110.0 g,1 medium
358,719,10,1,300.0 g,2 large
358,639,11,1,5.0 g,1 teaspoon
358,854,12,1,5.0 g,1 teaspoon
358,917,13,1,,2
358,680,14,1,2.5 g,1/2 teaspoon
358,1258,15,1,,2
358,1259,16,1,15.0 g,1 tablespoon
358,1260,17,1,,2-3
359,1261,1,1,1135.0 g,2-3 pounds
359,674,2,1,16.0 g,4 cloves
359,577,3,1,37.5 g,2-3 tablespoons
359,522,4,1,0.5 g,1 pinch
359,939,5,1,45.0 g,3 tablespoons
359,178,6,1,,
360,842,1,1,,2-3
360,109,2,1,15.0 g,1 tablespoon
360,720,3,1,55.0 g,1/2 medium
360,1244,4,1,,1
360,1262,5,1,,1/2
360,1163,6,1,70.0 g,1 small
360,727,7,1,5.0 g,1 teaspoon
360,412,8,1,3.0 g,1 teaspoon
360,1263,9,1,2.0 g,1 teaspoon
360,1264,10,1,,
360,745,11,1,900.0 g,6 large
360,1265,12,1,,1
360,1266,13,1,,
361,1267,1,1,300.0 g,2 large
361,745,2,1,300.0 g,2 large
361,1268,3,1,80.0 g,1/3 cup
361,1269,4,1,175.0 g,3/4 cup
361,606,5,1,113.0 g,8 tablespoons
361,611,6,1,5.0 g,1 teaspoon
361,364,7,1,60.0 g,1/4 cup
361,108,8,1,240.0 g,2 cups
361,29,9,1,6.0 g,1 teaspoon
361,744,10,1,5.0 g,1 teaspoon
361,522,11,1,3.0 g,1/2 teaspoon
361,1247,12,1,6.0 g,1 tablespoon
361,1201,13,1,5.0 g,1 teaspoon
361,606,14,1,113.0 g,1/2 cup
361,339,15,1,100.0 g,1/2 cup
361,1270,16,1,60.0 g,1/4 cup
361,611,17,1,5.0 g,1 teaspoon
362,1271,1,1,150.0 g,1 large
362,1272,2,1,60.0 g,1/4 cup
362,745,3,1,300.0 g,2 large
362,611,4,1,5.0 g,1 teaspoon
362,8,5,1,480.0 g,2 cups
362,95,6,1,120.0 g,1/2 cup
362,1200,7,1,120.0 g,1/2 cup
362,29,8,1,5.0 g,1 teaspoon
362,744,9,1,5.0 g,1 teaspoon
362,522,10,1,2.5 g,1/2 teaspoon
362,1273,11,1,150.0 g,1 large
362,733,12,1,120.0 g,1/2 cup
362,1274,13,1,5.0 g,1 teaspoon
362,1275,14,1,120.0 g,1/2 cup
362,1276,15,1,,1
362,1277,16,1,113.4 g,4 oz
362,1278,17,1,120.0 g,1/2 cup
362,1279,18,1,,2
362,470,19,1,5.0 g,1 teaspoon
362,1280,20,1,2.5 g,1/2 teaspoon
362,1281,21,1,5.0 g,1 teaspoon
363,1282,1,1,300.0 g,2 large
363,1201,2,1,5.0 g,1 teaspoon
363,621,3,1,236.0 g,1 cup
363,763,4,1,7.0 g,21/4 teaspoons
363,1283,5,1,,
363,522,6,1,6.0 g,1 teaspoon
363,10,7,1,360.0 g,3 cups
363,390,8,1,,
364,1284,1,1,681.0 g,1-2 pound
364,1285,2,1,,1/2
364,910,3,1,110.0 g,1 medium
364,1087,4,1,,4
364,1286,5,1,,4
364,1287,6,1,60.0 g,1/4 cup
364,1288,7,1,52.5 g,3-4 tablespoon
364,1289,8,1,,1/2
364,1221,9,1,,1-2
364,1263,10,1,5.0 g,1 teaspoon
364,1290,11,1,,1
364,680,12,1,2.5 g,1/2 teaspoon
364,639,13,1,5.0 g,1 teaspoon
364,854,14,1,7.5 g,1-2 teaspoons
364,1291,15,1,15.0 g,1 tablespoon
364,272,16,1,,1-2
364,522,17,1,,
365,854,1,1,20.0 g,3 tablespoons
365,412,2,1,15.0 g,2 tablespoons
365,688,3,1,15.0 g,1 tablespoon
365,1204,4,1,10.0 g,1 tablespoon
365,1292,5,1,2.0 g,1 tablespoon
365,639,6,1,5.0 g,1 teaspoon
365,1293,7,1,5.0 g,1/2 tablespoon
365,737,8,1,7.5 g,1/2 tablespoon
365,1294,9,1,7.5 g,1/2 tablespoon
365,828,10,1,3.0 g,1 teaspoon
365,1295,11,1,2.0 g,1 teaspoon
365,1296,12,1,5.0 g,1 tablespoon
367,1305,1,1,,2
367,1306,2,1,,
367,1307,3,1,75.0 g,1/2 large
367,1308,4,1,,2
367,929,5,1,10.0 g,2 teaspoons
367,1097,6,1,120.0 g,1/2 cup
367,1309,7,1,120.0 g,1/2 cup
367,1310,8,1,480.0 g,2 cups
367,1311,9,1,720.0 g,3 cups
367,1312,10,1,15.0 g,1 tablespoon
367,907,11,1,,
368,1313,1,1,450.0 g,1 pound
368,1314,2,1,,
368,720,3,1,110.0 g,1 medium
368,719,4,1,,2
368,1124,5,1,15.0 g,1 tablespoon
368,727,6,1,7.5 g,1/2 tablespoon
368,412,7,1,15.0 g,1 tablespoon
368,1315,8,1,10.0 g,1 tablespoon
368,1316,9,1,227.0 g,1/2 pound
368,1317,10,1,,
368,1318,11,1,600.0 g,2-3 cups
368,1244,12,1,,1
368,907,13,1,,
369,1319,1,1,453.0 g,1 pound
369,1320,2,1,,4-5
369,1321,3,1,225.0 g,1/2 pound
369,720,4,1,150.0 g,1 large
369,751,5,1,80.0 g,2 stalks
369,674,6,1,10.0 g,1 tablespoon
369,1263,7,1,2.0 g,2 teaspoons
369,676,8,1,,1-2
369,705,9,1,1560.0 g,6-7 cups
369,1322,10,1,8.0 g,2 teaspoons
369,562,11,1,45.0 g,11/2 cup
369,907,12,1,,
370,1323,1,1,454.0 g,1 pound
370,1324,2,1,75.0 g,2-3 slices
370,397,3,1,15.0 g,1 tablespoon
370,720,4,1,110.0 g,1 medium
370,674,5,1,12.0 g,3 cloves
370,751,6,1,40.0 g,1 stalk
370,937,7,1,10.0 g,2 teaspoons
370,854,8,1,7.5 g,1-2 teaspoons
370,35,9,1,,1
370,127,10,1,1.25 g,1/4 teaspoon
370,1325,11,1,,
370,787,12,1,960.0 g,4 cups
370,907,13,1,,
371,1319,1,1,480.0 g,2 cups
371,720,2,1,55.0 g,1/2 medium
371,1326,3,1,,1-2
371,1327,4,1,,
371,1328,5,1,300.0 g,2 large
371,1329,6,1,,
371,390,7,1,,
372,1319,1,1,453.0 g,1 pound
372,1320,2,1,,4-5
372,1330,3,1,141.75 g,5 ounces
372,720,4,1,150.0 g,1 large
372,751,5,1,40.0 g,1 stalk
372,674,6,1,12.5 g,2-3 teaspoons
372,1331,7,1,,1
372,1263,8,1,10.0 g,2 teaspoons
372,35,9,1,,1
372,1322,10,1,7.5 g,1-2 teaspoons
372,705,11,1,1800.0 g,7-8 cups
372,787,12,1,480.0 g,2 cups
372,907,13,1,,
373,99,1,1,28.0 g,2 tablespoons
373,673,2,1,220.0 g,2 medium
373,674,3,1,15.0 g,1 tablespoon
373,88,4,1,60.0 g,2 slices
373,364,5,1,118.0 g,1/2 cup
373,680,6,1,82.5 g,11/2 tablespoons
373,1332,7,1,5.0 g,1 teaspoon
373,681,8,1,5.0 g,1 teaspoon
373,682,9,1,5.0 g,1 teaspoon
373,1333,10,1,900.0 g,2 pounds
373,1334,11,1,82.5 g,11/2 tablespoons
373,1335,12,1,150.0 g,1 large
373,1336,13,1,,
373,733,14,1,50.0 g,1/4 cup
373,1337,15,1,,
373,645,16,1,15.0 g,1 tablespoon
373,745,17,1,,3
373,676,18,1,,5-6
373,1338,19,1,118.0 g,1/2 cup
373,364,20,1,118.0 g,1/2 cup
373,907,21,1,,
374,1307,1,1,375.0 g,2-3 large
374,1339,2,1,,3-4
374,1340,3,1,,
374,1341,4,1,240.0 g,8 slices
374,1342,5,1,,8
374,99,6,1,,
374,907,7,1,,
374,356,8,1,,
374,1343,9,1,,
374,1344,10,1,30.0 g,2 tablespoons
374,727,11,1,2.5 g,1/2 teaspoon
374,673,12,1,,
374,907,13,1,,
375,674,1,1,5.0 g,1 teaspoons
375,937,2,1,2.5 g,1/2 teaspoons
375,639,3,1,,
375,1345,4,1,,
375,1346,5,1,1135.0 g,2-3 pounds
375,1347,6,1,150.0 g,1 large
375,727,7,1,15.0 g,1 tablespoon
375,35,8,1,,1
375,1348,9,1,,2
375,1349,10,1,10.0 g,2 teaspoons
375,1350,11,1,,
375,1351,12,1,,
375,1352,13,1,480.0 g,2 cups
375,639,14,1,2.5 g,1/2 teaspoon
375,522,15,1,,
376,1353,1,1,120.0 g,1/2 cup
376,720,2,1,110.0 g,1 medium
376,727,3,1,10.0 g,2 teaspoons
376,954,4,1,5.0 g,1 teaspoons
376,162,5,1,,1
376,1354,6,1,15.0 g,1 tablespoon
376,1355,7,1,,2-3
376,1356,8,1,,3
376,412,9,1,7.5 g,1 1/2 teaspoon
376,127,10,1,2.5 g,1/2 teaspoon
376,1231,11,1,220.0 g,2 medium
376,1357,12,1,454.0 g,1 pound
376,1358,13,1,226.8 g,8 ounce
376,1359,14,1,,1
376,1352,15,1,1320.0 g,11/2 cup
376,907,16,1,,
377,1360,1,1,680.0 g,11/2 pounds
377,1361,2,1,30.0 g,2 tablespoons
377,1362,3,1,12.0 g,3 cloves
377,720,4,1,55.0 g,1/2 medium
377,719,5,1,275.0 g,2-3 medium
377,1309,6,1,60.0 g,1/2 cup
377,1363,7,1,28.0 g,1/2 cup
377,1364,8,1,300.0 g,4 cups
378,1282,1,1,600.0 g,4 large
378,1365,2,1,100.0 g,3/4 cup
378,1366,3,1,,
378,95,4,1,45.0 g,2-4 tablespoons
378,744,5,1,10.0 g,2 teaspoons
378,1172,6,1,2.5 g,1/2 teaspoon
378,1085,7,1,5.0 g,1 teaspoon
378,773,8,1,2.5 g,1/2 teaspoon
378,390,9,1,,
378,1367,10,1,,
379,1368,1,1,,2
379,625,2,1,,
379,331,3,1,,1
380,1369,1,1,1362.0 g,3 pounds
380,1370,2,1,454.0 g,1 pound
380,1371,3,1,227.0 g,1/2 pound
380,1143,4,1,110.0 g,1 medium
380,1372,5,1,,1/2
380,1373,6,1,120.0 g,1/2 cup
380,1374,7,1,67.5 g,4-5 tablespoon
380,1375,8,1,15.0 g,1 tablespoon
380,1376,9,1,,1
380,1377,10,1,,1/2
380,907,11,1,,
381,1378,1,1,908.0 g,2 pounds
381,1379,2,1,360.0 g,1 1/2 cup
381,1380,3,1,60.0 g,4 tablespoon
381,1381,4,1,120.0 g,1/2 cup
381,339,5,1,120.0 g,1/2 cup
381,1382,6,1,,1
381,1383,7,1,5.0 g,1 teaspoon
381,522,8,1,5.0 g,1 teaspoon
381,1201,9,1,2.5 g,1/2 teaspoon
381,954,10,1,1.25 g,1/4 teaspoon
381,1384,11,1,,
381,733,12,1,120.0 g,1/2 cup
382,177,1,1,30.0 g,2 tablespoons
382,720,2,1,110.0 g,1 medium
382,680,3,1,7.5 g,1-2 teaspoon
382,727,4,1,10.0 g,2 teaspoons
382,937,5,1,1.0 g,1/2 teaspoon
382,854,6,1,2.5 g,1/2 teaspoon
382,127,7,1,5.0 g,1 teaspoon
382,954,8,1,2.5 g,1/2 teaspoon
382,719,9,1,,1-2
382,107,10,1,840.0 g,3-4 cups
382,1385,11,1,,1
382,120,12,1,150.0 g,1 large
382,273,13,1,110.0 g,1 medium
382,502,14,1,110.0 g,1 medium
382,1386,15,1,,1
382,955,16,1,5.0 g,1 teaspoon
383,1036,1,1,,5-6
383,397,2,1,7.5 g,1/2 tablespoon
383,522,3,1,7.0 g,11/2 teaspoons
383,1322,4,1,5.0 g,2 teaspoons
383,390,5,1,30.0 g,2 tablespoons
383,1387,6,1,80.0 g,1/2 cup
383,751,7,1,50.0 g,1/4 cup
383,727,8,1,12.5 g,2-3 teaspoons
383,35,9,1,150.0 g,1 large
383,1388,10,1,7.5 g,1-2 teaspoons
383,1389,11,1,141.75 g,4-6 ounces
383,10,12,1,20.0 g,21/2 tablespoons
383,785,13,1,480.0 g,2 cups
383,1390,14,1,120.0 g,1/2 cup
383,761,15,1,60.0 g,1/4 cup
383,691,16,1,220.0 g,2 medium
383,1391,17,1,198.45 g,6-8 ounces
384,1392,1,1,,
384,522,2,1,10.0 g,2 teaspoons
384,807,3,1,10.0 g,2 teaspoons
384,1393,4,1,2.0 g,1 teaspoon
384,686,5,1,5.0 g,1 teaspoon
384,854,6,1,3.0 g,1 teaspoon
384,639,7,1,2.5 g,1/2 teaspoon
384,127,8,1,1.0 g,1/2 teaspoon
384,1394,9,1,2.5 g,1/2 teaspoon
384,390,10,1,28.0 g,2 tablespoons
384,720,11,1,110.0 g,1 medium
384,51,12,1,110.0 g,1 medium
384,1263,13,1,2.0 g,1 teaspoon
384,727,14,1,10.0 g,2 teaspoons
384,954,15,1,5.0 g,1 teaspoon
384,1395,16,1,392.0 g,2 cups
384,1236,17,1,,1
384,1396,18,1,710.0 g,3 cups
384,522,19,1,6.0 g,1 teaspoon
384,412,20,1,3.0 g,1 teaspoon
384,639,21,1,3.0 g,1 teaspoon
384,680,22,1,2.5 g,1/2 teaspoon
384,1397,23,1,,
384,1398,24,1,225.0 g,1/2 pound
384,1399,25,1,,1
385,10,1,1,360.0 g,3 cups
385,1200,2,1,12.0 g,1 tablespoon
385,522,3,1,9.0 g,11/2 teaspoon
385,258,4,1,100.0 g,1/2 cup
385,621,5,1,236.0 g,1 cup
385,390,6,1,22.5 g,1-2 tablespoons
385,720,7,1,55.0 g,1/2 medium
385,727,8,1,6.0 g,2 teaspoons
385,1124,9,1,3.0 g,1 teaspoon
385,1400,10,1,,
385,680,11,1,3.0 g,1 teaspoon
385,127,12,1,2.5 g,1/2 teaspoon
385,854,13,1,2.0 g,1/2 teaspoon
385,639,14,1,2.0 g,1 teaspoon
385,1401,15,1,230.0 g,1/2 pound
385,1402,16,1,37.5 g,2-3 tablespoons
385,1403,17,1,50.0 g,1/3 cup
385,522,18,1,,
386,1223,1,1,1500.0 g,
386,907,2,1,,
386,1322,3,1,7.5 g,1-2 teaspoons
386,1404,4,1,,
386,1087,5,1,,5-6
386,720,6,1,110.0 g,1 medium
