recipe_id,ingredient_id,ingredient_index,portion_factor,actual_measure,measure_only
17,63,6,1,,? teaspoon
17,209,7,1,,2 large
17,251,8,1,,4 cloves
17,532,9,1,,
17,308,10,1,,1 small
17,415,11,1,6 g,2 tablespoon
17,10,12,1,63 g,? cup
17,618,13,1,,
17,615,14,1,30 ml,2 tablespoon
17,532,15,1,,
17,597,16,1,,2 medium
17,489,17,1,,1 medium
17,312,18,1,,1 small
17,625,19,1,120 ml,? cup
17,522,20,1,,
17,416,21,1,,
18,405,1,1,,4 large
18,187,2,1,170 g,1 cup
18,364,3,1,60 ml,4 tablespoon
18,522,4,1,,1 teaspoon
18,253,5,1,,1 teaspoon
18,260,6,1,,1 teaspoon
18,127,7,1,,1 teaspoon
18,532,8,1,,
18,109,9,1,45 ml,3 tablespoon
19,10,1,1,375 g,3 cups
19,26,2,1,,1 teaspoon
19,6,3,1,ehuru,? teaspoon
19,577,4,1,144 g,? cup
19,354,5,1,115 g,? cup
19,364,6,1,80 ml,
19,616,7,1,,
20,615,1,1,30 ml,2 tablespoon
20,399,2,1,,1 medium
20,39,3,1,450 g,
20,45,4,1,,
20,591,5,1,,1 teaspoon
20,625,6,1,320 ml,
20,520,7,1,,2 medium
20,121,8,1,,2 medium
20,10,9,1,16 g,2 tablespoon
20,523,10,1,,
20,10,11,1,1 kg,8 cups
20,26,12,1,8 g,2 teaspoon
20,522,13,1,,
20,172,14,1,450 g,
20,304,15,1,120 ml,? cup
20,209,16,1,,1 large
21,445,1,1,450 g,
21,591,2,1,,? teaspoon
21,517,3,1,,? teaspoon
21,127,4,1,,? teaspoon
21,63,5,1,,? teaspoon
21,522,6,1,,? teaspoon
21,38,7,1,,
21,10,8,1,42 g,
21,410,9,1,60 g,? cup
21,209,10,1,,2 large
21,287,11,1,,8 medium
21,616,12,1,,
22,123,1,1,,2 large
22,291,2,1,,? large
22,290,3,1,,? large
22,597,4,1,,1 large
22,196,5,1,,1 medium
22,497,6,1,,1 large
22,296,7,1,14-oz [392-g],? can
22,578,8,1,15-oz [420-g],? can
22,287,9,1,,2 large
22,297,10,1,,
23,69,1,1,151 g,1 cup
23,625,2,1,60 ml,? cup
23,489,3,1,,1 medium
23,282,4,1,,1 small
23,399,5,1,,1 small
23,522,6,1,,
23,618,7,1,,
23,88,8,1,,
24,69,1,1,151 g,1 cup
24,399,2,1,76 g,? cup
24,489,3,1,,? large
24,282,4,1,,1 small
24,133,5,1,,
24,522,6,1,10 g,2 teaspoon
24,409,7,1,30 ml,2 tablespoon
24,615,8,1,60 ml,? cup
24,127,9,1,,1 teaspoon
24,191,10,1,12 g,2 tablespoon
24,287,11,1,,3 large
24,185,12,1,230 g,1 cup
25,409,1,1,180 ml,? cup
25,184,2,1,577 g,4 cups
25,399,3,1,,? large
25,282,4,1,,1 small
25,625,5,1,180 ml,? cup
25,652,6,1,170 g,1 cup
25,522,7,1,10 g,2 teaspoon
25,147,8,1,,
25,344,9,1,120 g,4 cups
25,30,10,1,see note,6 large
26,647,1,1,,
26,10,2,1,16 g,2 tablespoon
26,625,3,1,30 ml,2 tablespoon
26,209,4,1,,1 large
26,523,5,1,,
26,616,6,1,,
26,428,7,1,,
27,408,1,1,?-oz [7-g],
27,575,2,1,192 g,1 cup
27,611,3,1,,1 teaspoon
27,389,4,1,,? teaspoon
27,522,5,1,,1 teaspoon
27,621,6,1,480 ml,2 cups
27,10,7,1,438 g,
27,616,8,1,,
27,576,9,1,,
28,475,1,1,224 g,
28,162,2,1,2- to 4-inch [6- to 10-cm],
